,support,itemsets
777,0.11302605210420842,frozenset({'WHITE HANGING HEART T-LIGHT HOLDER'})
344,0.10465931863727455,frozenset({'JUMBO BAG RED RETROSPOT'})
556,0.09959919839679358,frozenset({'REGENCY CAKESTAND 3 TIER'})
463,0.0844188376753507,frozenset({'PARTY BUNTING'})
384,0.07835671342685371,frozenset({'LUNCH BAG RED RETROSPOT'})
50,0.07289579158316634,frozenset({'ASSORTED COLOUR BIRD ORNAMENT'})
625,0.06938877755511022,frozenset({'SET OF 3 CAKE TINS PANTRY DESIGN '})
442,0.06613226452905811,frozenset({'PACK OF 72 RETROSPOT CAKE CASES'})
376,0.06377755511022044,frozenset({'LUNCH BAG  BLACK SKULL.'})
416,0.0625751503006012,frozenset({'NATURAL SLATE HEART CHALKBOARD '})
342,0.06102204408817635,frozenset({'JUMBO BAG PINK POLKADOT'})
297,0.060170340681362726,frozenset({'HEART OF WICKER SMALL'})
355,0.0593186372745491,frozenset({'JUMBO STORAGE BAG SUKI'})
353,0.05886773547094189,frozenset({'JUMBO SHOPPER VINTAGE RED PAISLEY'})
326,0.058216432865731464,frozenset({'JAM MAKING SET PRINTED'})
456,0.05811623246492986,"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})"
385,0.057965931863727456,frozenset({'LUNCH BAG SPACEBOY DESIGN '})
379,0.057615230460921846,frozenset({'LUNCH BAG CARS BLUE'})
705,0.05711422845691383,frozenset({'SPOTTY BUNTING'})
327,0.056713426853707415,frozenset({'JAM MAKING SET WITH JARS'})
506,0.0564128256513026,frozenset({'POSTAGE'})
516,0.055661322645290584,frozenset({'RECIPE BOX PANTRY YELLOW DESIGN'})
794,0.05511022044088176,frozenset({'WOODEN PICTURE FRAME WHITE FINISH'})
383,0.05460921843687375,frozenset({'LUNCH BAG PINK POLKADOT'})
387,0.05430861723446894,frozenset({'LUNCH BAG SUKI DESIGN '})
643,0.05375751503006012,frozenset({'SET OF 4 PANTRY JELLY MOULDS'})
587,0.053356713426853705,frozenset({'ROSES REGENCY TEACUP AND SAUCER '})
41,0.052655310621242485,frozenset({'ALARM CLOCK BAKELIKE RED '})
751,0.051953907815631264,frozenset({'VICTORIAN GLASS HANGING T-LIGHT'})
378,0.05190380761523046,frozenset({'LUNCH BAG APPLE DESIGN'})
534,0.051703406813627256,frozenset({'RED RETROSPOT CHARLOTTE BAG'})
390,0.05095190380761523,frozenset({'LUNCH BAG WOODLAND'})
266,0.05075150300601202,frozenset({'GREEN REGENCY TEACUP AND SAUCER'})
512,0.04979959919839679,frozenset({'RABBIT NIGHT LIGHT'})
667,0.04939879759519038,frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS '})
37,0.04909819639278557,frozenset({'ALARM CLOCK BAKELIKE GREEN'})
335,0.04899799599198397,frozenset({'JUMBO BAG APPLES'})
791,0.04864729458917836,frozenset({'WOODEN FRAME ANTIQUE WHITE '})
570,0.04819639278557114,frozenset({'RETROSPOT TEA SET CERAMIC 11 PC '})
25,0.04784569138276553,frozenset({'6 RIBBONS RUSTIC CHARM'})
55,0.0467935871743487,frozenset({'BAKING SET 9 PIECE RETROSPOT '})
332,0.046743486973947895,frozenset({'JUMBO  BAG BAROQUE BLACK WHITE'})
768,0.046392785571142285,frozenset({'VINTAGE SNAP CARDS'})
296,0.04634268537074148,frozenset({'HEART OF WICKER LARGE'})
243,0.04574148296593186,frozenset({'GARDENERS KNEELING PAD KEEP CALM '})
334,0.04539078156312625,frozenset({'JUMBO BAG ALPHABET'})
703,0.045090180360721446,frozenset({'SPACEBOY LUNCH BOX '})
120,0.044188376753507015,frozenset({'CHARLOTTE BAG SUKI DESIGN'})
351,0.04403807615230461,frozenset({'JUMBO BAG VINTAGE LEAF'})
670,0.04403807615230461,frozenset({'SET/5 RED RETROSPOT LID GLASS BOWLS'})
630,0.0437374749498998,frozenset({'SET OF 3 REGENCY CAKE TINS'})
573,0.043637274549098194,frozenset({'REX CASH+CARRY JUMBO SHOPPER'})
440,0.04353707414829659,frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'})
343,0.04333667334669339,frozenset({'JUMBO BAG PINK VINTAGE PAISLEY'})
352,0.043236472945891787,frozenset({'JUMBO BAG WOODLAND ANIMALS'})
137,0.04298597194388778,frozenset({'CHOCOLATE HOT WATER BOTTLE'})
173,0.042585170340681364,frozenset({'DOLLY GIRL LUNCH BOX'})
554,0.04253507014028056,frozenset({'RED TOADSTOOL LED NIGHT LIGHT'})
499,0.042334669338677355,frozenset({'PLEASE ONE PERSON METAL SIGN'})
652,0.041783567134268534,frozenset({'SET OF 6 SPICE TINS PANTRY DESIGN'})
800,0.04173346693386774,frozenset({'WOODLAND CHARLOTTE BAG'})
28,0.04148296593186373,frozenset({'60 TEATIME FAIRY CAKE CASES'})
1193,0.04133266533066132,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO BAG PINK POLKADOT'})"
347,0.041182364729458916,frozenset({'JUMBO BAG STRAWBERRY'})
459,0.041082164328657314,frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'})
501,0.04023046092184369,frozenset({'POPCORN HOLDER'})
453,0.03997995991983968,frozenset({'PAPER BUNTING RETROSPOT'})
40,0.039228456913827654,frozenset({'ALARM CLOCK BAKELIKE PINK'})
314,0.03917835671342686,frozenset({'HOT WATER BOTTLE KEEP CALM'})
306,0.03892785571142285,frozenset({'HOME BUILDING BLOCK WORD'})
155,0.03867735470941884,frozenset({'CLOTHES PEGS RETROSPOT PACK 24 '})
600,0.038627254509018036,frozenset({'SCOTTIE DOG HOT WATER BOTTLE'})
1037,0.03842685370741483,"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})"
488,0.03832665330661322,frozenset({'PINK REGENCY TEACUP AND SAUCER'})
247,0.03802605210420842,frozenset({'GIN + TONIC DIET METAL SIGN'})
242,0.03797595190380761,frozenset({'GARDENERS KNEELING PAD CUP OF TEA '})
521,0.037474949899799596,frozenset({'RECYCLING BAG RETROSPOT '})
119,0.03717434869739479,frozenset({'CHARLOTTE BAG PINK POLKADOT'})
527,0.037124248496993986,frozenset({'RED HANGING HEART T-LIGHT HOLDER'})
377,0.03707414829659319,frozenset({'LUNCH BAG ALPHABET DESIGN'})
595,0.036673346693386774,frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND '})
281,0.03647294589178357,frozenset({'HANGING HEART JAR T-LIGHT HOLDER'})
181,0.03647294589178357,frozenset({'DOORMAT KEEP CALM AND COME IN'})
1237,0.03627254509018036,"frozenset({'JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI'})"
162,0.03622244488977956,frozenset({'COOK WITH WINE METAL SIGN '})
710,0.03617234468937876,frozenset({'STRAWBERRY CHARLOTTE BAG'})
333,0.035871743486973945,"frozenset({""JUMBO BAG 50'S CHRISTMAS ""})"
350,0.03562124248496994,frozenset({'JUMBO BAG VINTAGE DOILY '})
321,0.03562124248496994,frozenset({'IVORY KITCHEN SCALES'})
391,0.03542084168336673,frozenset({'LUNCH BOX I LOVE LONDON'})
709,0.035370741482965935,frozenset({'STRAWBERRY CERAMIC TRINKET BOX'})
192,0.035370741482965935,frozenset({'DOTCOM POSTAGE'})
354,0.03532064128256513,frozenset({'JUMBO STORAGE BAG SKULLS'})
496,0.035270541082164326,frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'})
184,0.03486973947895792,frozenset({'DOORMAT RED RETROSPOT'})
44,0.0345190380761523,frozenset({'ANTIQUE SILVER T-LIGHT GLASS'})
624,0.034468937875751504,frozenset({'SET OF 3 BUTTERFLY COOKIE CUTTERS'})
346,0.0343687374749499,frozenset({'JUMBO BAG SPACEBOY DESIGN'})
628,0.0343186372745491,frozenset({'SET OF 3 HEART COOKIE CUTTERS'})
786,0.0343186372745491,frozenset({'WOOD BLACK BOARD ANT WHITE FINISH'})
381,0.03416833667334669,frozenset({'LUNCH BAG DOLLY GIRL DESIGN'})
